id,age_category,age,gender_category,gender,education_category,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsiveness,sensation,cannabis
2,25-34,2,M,1,Doctorate,9,29,52,55,48,41,3,9,1
3,35-44,3,M,1,Certificate-diploma,6,31,45,40,32,34,2,10,1
4,18-24,1,F,0,Masters,8,34,34,46,47,46,2,3,1
5,35-44,3,F,0,Doctorate,9,43,28,43,41,50,4,9,1
6,65+,6,F,0,Left_school_at_18,4,29,38,35,55,52,2,2,0
7,45-54,4,M,1,Masters,8,31,32,43,41,48,4,8,1
8,35-44,3,M,1,Left_school_at_16,2,24,52,40,41,52,5,6,0
9,35-44,3,F,0,Certificate-diploma,6,42,55,39,48,49,2,2,0
10,55-64,5,M,1,Masters,8,33,40,36,47,43,2,4,1
11,25-34,2,F,0,University_degree,7,26,45,38,38,53,5,8,1
12,45-54,4,M,1,Some_college,5,24,40,47,30,38,6,5,1
13,55-64,5,F,0,University_degree,7,56,41,49,32,36,8,8,1
14,55-64,5,F,0,Certificate-diploma,6,28,45,46,49,59,3,4,0
15,55-64,5,F,0,Certificate-diploma,6,27,49,49,39,52,8,7,0
16,55-64,5,M,1,University_degree,7,19,29,35,36,49,3,6,1
17,35-44,3,F,0,Some_college,5,22,34,34,45,47,4,1,1
18,45-54,4,M,1,Left_school_at_16,2,41,31,44,40,31,2,4,1
19,55-64,5,M,1,University_degree,7,49,39,45,30,30,3,9,1
20,35-44,3,M,1,Certificate-diploma,6,32,27,29,30,47,2,1,1
21,45-54,4,M,1,Certificate-diploma,6,28,45,51,53,33,5,9,1
22,65+,6,M,1,Left_school_before_16,1,25,43,38,39,53,4,3,1
23,45-54,4,M,1,University_degree,7,40,33,40,50,35,3,8,0
24,45-54,4,M,1,Left_school_at_16,2,51,16,37,45,34,2,2,1
25,55-64,5,M,1,University_degree,7,34,44,54,48,51,4,6,1
26,45-54,4,M,1,Some_college,5,28,37,37,49,42,4,10,1
27,55-64,5,F,0,Left_school_at_18,4,35,28,24,38,46,5,2,1
28,35-44,3,M,1,University_degree,7,41,31,46,43,25,9,10,1
29,35-44,3,F,0,Masters,8,36,29,41,45,50,5,6,1
30,45-54,4,M,1,Doctorate,9,24,51,52,49,53,4,6,0
31,45-54,4,M,1,Left_school_at_16,2,39,34,37,33,37,2,8,1
32,35-44,3,F,0,Left_school_at_16,2,25,34,47,39,42,2,4,0
33,35-44,3,M,1,University_degree,7,28,31,46,46,42,5,4,1
34,18-24,1,M,1,University_degree,7,40,38,48,51,41,3,2,0
35,35-44,3,M,1,University_degree,7,46,44,52,23,36,6,2,1
36,65+,6,M,1,Left_school_before_16,1,33,34,28,41,36,6,2,0
37,35-44,3,M,1,University_degree,7,33,36,45,43,30,4,9,0
38,55-64,5,M,1,Left_school_before_16,1,39,42,53,44,37,6,6,1
